polymer,system,A2_unnormalized,deltaGmin,deltaGmax,N,A2_normalized,A2_normalized_win10,A2_normalized_win20,A2_normalized_win30,deltaGmax_win10,deltaGmax_win20,deltaGmax_win30
2427,fe_virial_batch_100k_17_0,186.10671000378974,0.0,0.7132756299611935,34,0.1609919636710984,0.08120081209373274,0.03673353804392153,0.03334527724211116,0.6234514307838814,0.5107291406006874,0.41683329294564747
2428,fe_virial_batch_100k_17_0,65.17633544631526,0.0,0.647743407738971,34,0.05638091301584365,0.07258846272623337,0.05238847770408009,0.035373089585218294,0.6155380196727704,0.5590275794895763,0.4677600542609052
2429,fe_virial_batch_100k_17_0,-189.11830204037025,0.0,0.6442937698702855,34,-0.1635971470937459,-0.22546805145755552,-0.24110868080240067,-0.20803302910234522,0.5894722196727702,0.5135542728191458,0.42966126331601767
2430,fe_virial_batch_100k_17_0,124.88483562741368,0.0,0.7402938521834154,36,0.09636175588535006,0.14866913576002105,0.1426264474633752,0.10992407268126583,0.6925411085616593,0.6175616739340206,0.5336332114641654
2431,fe_virial_batch_100k_17_0,289.68088712673625,0.0,1.3497926840230663,36,0.2235192030298891,0.20451069679517667,0.18716487018346914,0.15704656180558937,1.299063808561659,1.1910385839302566,1.0565556114641659
2432,fe_virial_batch_100k_17_0,56.87370831977082,0.0,0.9384759632945259,36,0.04388403419735403,0.036743191544869255,0.01046901548418855,0.009947737764622457,0.8944834307838816,0.8384845017117979,0.7655354485012029
2433,fe_virial_batch_100k_17_0,-116.08071801391615,0.0,0.4305171032036198,36,-0.08956845525765135,-0.006521755348328981,0.019484091576388158,0.037321856022724156,0.44837164189499257,0.42108677393402044,0.3868240633160181
2434,fe_virial_batch_100k_17_0,56.14607133245432,0.0,1.0169967410723038,36,0.04332258590467154,0.012784534966713099,-0.014806817593212727,-0.010948580241910233,0.9326815085616592,0.7985905005969229,0.6896496559086103
2435,fe_virial_batch_100k_17_0,261.0540065951775,0.0,1.6108911602069886,38,0.18078532312685422,0.14718750753917667,0.11700060582360235,0.11115143446119,1.4678392530061033,1.30137236726359,1.150764600353055
2436,fe_virial_batch_100k_17_0,172.28523631086077,0.0,1.5984284042098758,38,0.11931110547843543,0.06986190341728822,0.05320277269501589,0.05976383282014607,1.539871986339437,1.4387404350451316,1.3394080966493518
2437,fe_virial_batch_100k_17_0,-375.8420905139216,0.0,0.9604264077389717,38,-0.2602784560345718,-0.23171890998711042,-0.2202967181783212,-0.1557265220290637,0.9232015418949922,0.8458631183784656,0.7834892077604629
2438,fe_virial_batch_100k_17_0,95.3627063362242,0.0,1.6501674365369525,38,0.066040655357496,0.04140693170181271,0.006646810756408979,0.026573964803523815,1.5549523418949935,1.4354366839302573,1.2987217151678698
2439,fe_virial_batch_100k_17_0,100.20602070712907,0.0,1.6319949632945268,38,0.06939475118222235,0.11300476526864865,0.11929374970026439,0.12923449054384015,1.587335141894992,1.514989361708034,1.3978432262789815
2440,fe_virial_batch_100k_17_0,45.12603552286212,0.0,1.5599034077389715,40,0.028203772201788824,-0.0014205823228698657,-0.004020508956342372,0.018842951498927084,1.5039599099058634,1.4298213228191454,1.3466450892419441
2441,fe_virial_batch_100k_17_0,154.98540846654794,0.0,1.4340414077389705,40,0.09686588029159246,0.0799508074035235,0.0612098095032308,0.0397705230956633,1.3399925196727704,1.2406294950413672,1.1360807410937954
2442,fe_virial_batch_100k_17_0,144.61086514296213,0.0,1.5848342977938439,40,0.09038179071435133,0.10116825296619293,0.0871165700430288,0.08646526675472471,1.5508889384583116,1.4844928794895758,1.4082650892419437
2443,fe_virial_batch_100k_17_0,312.7268476240058,0.0,1.3911549379847672,40,0.19545427976500362,0.1818834174156102,0.15729952947261105,0.1429664747864704,1.3377252530061043,1.2679666005969232,1.1943149744271304
2444,fe_virial_batch_100k_17_0,302.6531606931369,0.0,2.3587709597654305,40,0.18915822543321056,0.2225562022957995,0.19244240893258244,0.16045178258181306,2.323173708561659,2.170198539485813,1.989198907760462
2445,fe_virial_batch_100k_17_0,277.96052083506225,0.0,1.8346308521834154,42,0.15757399140309652,0.1838099017176983,0.1794521120104776,0.17421338990674132,1.7736983641172142,1.686000123934021,1.5990097151678688
2446,fe_virial_batch_100k_17_0,146.8086078825406,0.0,1.986765658759175,42,0.08322483440053322,0.033125348804488544,0.014574988538775896,0.015283068870878472,1.8850893085616596,1.805894835045132,1.7305634670197227
2447,fe_virial_batch_100k_17_0,390.69822081090695,0.0,2.367107959765431,42,0.2214842521603781,0.24077167906476904,0.22068228036061324,0.17544896298181034,2.3429580987947536,2.21825401726359,2.0659520855382403
2448,fe_virial_batch_100k_17_0,-334.50666438656947,0.0,1.1841305188500815,42,-0.18962962833705752,-0.14515379995766406,-0.12994601386835236,-0.09843249585784739,1.1529856210169744,1.0864130283747009,1.0443034892419443
