system,Rg
frac_401,1.7886372863568216
frac_402,1.7959416591704147
frac_403,1.7821573813093452
frac_404,1.800702083958021
frac_405,1.953967351324338
frac_406,1.9574880059970015
frac_407,1.9304764467766118
frac_408,1.9657902848575715
frac_409,1.9471422538730634
frac_410,2.0492270514742628
frac_411,2.087236636681659
frac_412,2.0692691504247875
frac_413,2.073182963518241
frac_414,2.041793928035982
frac_415,2.227510024987506
frac_416,2.2072423288355827
frac_417,2.2236714092953527
frac_418,2.221010424787606
frac_419,2.189370364817591
frac_420,2.315228935532234
frac_421,2.372482138930535
frac_422,2.365479140429785
frac_423,2.2907451924037976
frac_424,2.3056899750124935
frac_425,1.8986238380809595
frac_426,1.8735649125437281
frac_427,1.8614285807096451
frac_428,1.886674007996002
frac_429,1.8707151124437782
frac_430,1.9853337581209398
frac_431,2.0032191054472763
frac_432,2.004814172913543
frac_433,2.0096020439780107
frac_434,2.024791419290355
frac_435,2.153419210394803
frac_436,2.172973188405797
frac_437,2.150361564217891
frac_438,2.1689912593703147
frac_439,2.1215795802098953
frac_440,2.2753844327836084
frac_441,2.3082028285857072
frac_442,2.2591707446276863
frac_443,2.209827911044478
frac_444,2.2818938980509746
frac_445,2.373571589205397
frac_446,2.441027911044478
frac_447,2.406293068465767
frac_448,2.3958573463268373
frac_449,2.3871962568715643
frac_450,1.9645503698150928
frac_451,1.938947791104448
frac_452,1.9819132533733135
frac_453,1.9745883008495755
frac_454,1.9477150424787608
frac_455,2.0720929685157423
frac_456,2.0813769615192403
frac_457,2.102401729135432
frac_458,2.112282563718141
frac_459,2.046086376811594
frac_460,2.2635866816591705
frac_461,2.253443643178411
frac_462,2.224592073963018
frac_463,2.1781650224887557
frac_464,2.22252219890055
frac_465,2.291050889555222
frac_466,2.335053153423288
frac_467,2.3173341329335333
frac_468,2.333381764117941
frac_469,2.3541386906546724
frac_470,2.43372852073963
frac_471,2.502806431784108
frac_472,2.4175563668165916
frac_473,2.4719355022488756
frac_474,2.4409925337331337
frac_475,2.0227890854572714
frac_476,2.018573313343328
frac_477,2.0296587206396803
frac_478,2.073019255372314
frac_479,2.0311058820589705
frac_480,2.1238295502248876
frac_481,2.1089502248875562
frac_482,2.1688906546726634
frac_483,2.1782169315342332
frac_484,2.1129374462768618
frac_485,2.1955304947526235
frac_486,2.286062163918041
frac_487,2.2476608945527237
frac_488,2.3250243878060965
frac_489,2.2891276761619195
frac_490,2.4263539430284857
frac_491,2.4432546326836584
frac_492,2.432761749125438
frac_493,2.4246160869565214
frac_494,2.4020686856571714
frac_495,2.4998210194902546
frac_496,2.5394478310844577
frac_497,2.5322863518240877
frac_498,2.534216696651674
frac_499,2.479523378310845
frac_500,1.7724322188905548
frac_501,1.804005287356322
frac_502,1.8308726986506747
frac_503,1.7767578410794604
frac_504,1.8102042978510746
frac_505,1.9444881259370315
frac_506,1.9390093303348326
frac_507,1.8793337531234382
frac_508,1.9246069465267366
frac_509,1.9563981009495253
frac_510,2.0842946576711645
frac_511,2.0773813543228385
frac_512,2.0703734632683655
frac_513,2.090949275362319
frac_514,2.0925165417291356
frac_515,2.1937768365817094
frac_516,2.224742708645677
frac_517,2.248351489255372
frac_518,2.195600494752624
frac_519,2.248474222888556
frac_520,2.3372262418790606
frac_521,2.351920134932534
frac_522,2.3509688855572213
frac_523,2.279596731634183
frac_524,2.35791035982009
frac_525,1.8526922338830583
frac_526,1.85492047976012
frac_527,1.8727714792603698
frac_528,1.8716211044477762
frac_529,1.8921552023988004
frac_530,2.0248064367816094
frac_531,2.0026082408795602
frac_532,2.019373563218391
frac_533,2.042393388305847
frac_534,2.04169315842079
frac_535,2.1323705747126436
frac_536,2.1689609395302347
frac_537,2.1043471914042975
frac_538,2.1555935132433786
frac_539,2.1779416291854075
frac_540,2.2426879060469767
frac_541,2.240210049975012
frac_542,2.2726810194902547
frac_543,2.284082388805597
frac_544,2.2881835032483755
frac_545,2.38061688155922
frac_546,2.3857036681659167
frac_547,2.3707526386806594
frac_548,2.3943838430784607
frac_549,2.370584387806097
frac_550,1.9645559070464769
frac_551,1.940335067466267
frac_552,1.9391424187906046
frac_553,1.9072700299850074
frac_554,1.978415412293853
frac_555,2.0939583058470768
frac_556,2.052244957521239
frac_557,2.0582783858070965
frac_558,2.087433708145927
frac_559,2.0909053823088453
frac_560,2.195691854072964
frac_561,2.2343804697651173
frac_562,2.2200330534732635
frac_563,2.2333067566216895
frac_564,2.2653404697651176
frac_565,2.3292781859070466
frac_566,2.339233503248376
frac_567,2.336474952523738
frac_568,2.2913760319840075
frac_569,2.3331685857071465
frac_570,2.4711545727136435
frac_571,2.493501299350325
frac_572,2.4866775212393804
frac_573,2.428652308845577
frac_574,2.458701684157921
frac_575,2.023852343828086
frac_576,2.0516260869565217
frac_577,2.0525082458770614
frac_578,1.9806745277361317
frac_579,2.066701099450275
frac_580,2.121379015492254
frac_581,2.134020249875063
frac_582,2.1215494702648674
frac_583,2.1264488305847076
frac_584,2.135619830084958
frac_585,2.2842190854572713
frac_586,2.2465276811594204
frac_587,2.260414447776112
frac_588,2.291494982508745
frac_589,2.2562960919540234
frac_590,2.431034762618691
frac_591,2.472949315342329
frac_592,2.45097596201899
frac_593,2.4157753323338333
frac_594,2.3846440379810097
frac_595,2.555370484757621
frac_596,2.4858084507746128
frac_597,2.531103898050975
frac_598,2.511690169915043
frac_599,2.5348472763618193
frac_600,2.0960637381309346
frac_601,2.085937686156922
frac_602,2.099950734632684
frac_603,2.076167731134433
frac_604,2.0713090854572713
frac_605,2.2316798650674667
frac_606,2.222093223388306
frac_607,2.177055247376311
frac_608,2.262618475762119
frac_609,2.3073590454772614
frac_610,2.3191892553723137
frac_611,2.342153068465767
frac_612,2.35182547726137
frac_613,2.324122623688156
frac_614,2.38289111944028
frac_615,2.49695952023988
frac_616,2.492549725137432
frac_617,2.472462288855572
frac_618,2.4925191654172916
frac_619,2.50292191904048
frac_620,2.617007261369315
frac_621,2.584384477761119
frac_622,2.5451809145427284
frac_623,2.55677131934033
frac_624,2.601380984507746
frac_625,1.5399345737131436
frac_626,1.5386034582708645
frac_627,1.5263967461269365
frac_628,1.5217572563718138
frac_629,1.5273422493753124
frac_630,1.6776460939530236
frac_631,1.6915813808095952
frac_632,1.6690465467266367
frac_633,1.6677735757121441
frac_634,1.6627144712643678
frac_635,1.7826786106946528
frac_636,1.8221245477261367
frac_637,1.843109420289855
frac_638,1.8266612843578212
frac_639,1.773340819590205
frac_640,1.957441379310345
frac_641,1.971983928035982
frac_642,1.9618136581709147
frac_643,1.9743859370314842
frac_644,1.9708017591204396
frac_645,2.0240640829585206
frac_646,2.0641833783108443
frac_647,2.1120006946526737
frac_648,2.0727181159420294
frac_649,2.079643833083458
frac_650,1.628342768615692
frac_651,1.5982826886556722
frac_652,1.6012288505747128
frac_653,1.6042108160919542
