polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
2544,fe_virial_batch_100k17,24.638852749090745,0.0,32,0.02406137963778393
2545,fe_virial_batch_100k17,-70.54609966529904,0.0,34,-0.061026037772750036
2546,fe_virial_batch_100k17,-37.7559961428378,0.0,34,-0.03266089631733374
2547,fe_virial_batch_100k17,181.5922717499613,0.0,34,0.1570867402681326
2548,fe_virial_batch_100k17,146.18713100295656,0.0,34,0.12645945588491053
2549,fe_virial_batch_100k17,97.29015922545749,0.0,34,0.08416103739226426
2550,fe_virial_batch_100k18,134.14996269924404,0.0,28,0.17110964630005618
2551,fe_virial_batch_100k18,-125.49005989272605,0.0,28,-0.1600638519039873
2552,fe_virial_batch_100k18,-55.86281879862507,0.0,28,-0.07125359540640953
2553,fe_virial_batch_100k18,-96.18547978057128,0.0,28,-0.12268556094460623
2554,fe_virial_batch_100k18,-128.94072604343555,0.0,28,-0.16446521179009635
2555,fe_virial_batch_100k18,80.40145607457575,0.0,30,0.08933495119397306
2556,fe_virial_batch_100k18,-32.50125219979726,0.0,30,-0.03611250244421917
2557,fe_virial_batch_100k18,-163.81259724681763,0.0,30,-0.18201399694090847
2558,fe_virial_batch_100k18,38.17716215301333,0.0,30,0.0424190690589037
2559,fe_virial_batch_100k18,43.72912899665656,0.0,30,0.04858792110739618
2560,fe_virial_batch_100k18,52.20182785025463,0.0,32,0.05097834751001429
2561,fe_virial_batch_100k18,-16.793359535552554,0.0,32,-0.01639976517143804
2562,fe_virial_batch_100k18,-29.550072689057345,0.0,32,-0.028857492860407563
2563,fe_virial_batch_100k18,-48.530243673358115,0.0,32,-0.047392816087263784
2564,fe_virial_batch_100k18,89.60995172001647,0.0,32,0.08750971847657858
2565,fe_virial_batch_100k18,-34.51690779999418,0.0,34,-0.029858916782001886
2566,fe_virial_batch_100k18,-60.11823816788446,0.0,34,-0.0520053963390004
2567,fe_virial_batch_100k18,-37.10201099789164,0.0,34,-0.03209516522308965
2568,fe_virial_batch_100k18,50.83180152784823,0.0,34,0.04397214665038774
2569,fe_virial_batch_100k18,112.97850967743705,0.0,34,0.09773227480747149
2570,fe_virial_batch_100k18,100.3550953022911,0.0,36,0.07743448711596536
2571,fe_virial_batch_100k18,-46.71412276275784,0.0,36,-0.036044847810769935
2572,fe_virial_batch_100k18,171.50116436562888,0.0,36,0.13233114534384943
2573,fe_virial_batch_100k18,80.67677480818926,0.0,36,0.06225059784582505
2574,fe_virial_batch_100k18,269.3304024031993,0.0,36,0.2078166685209871
2575,fe_virial_batch_100k18,-7.339970770842171,0.0,30,-0.008155523078713523
2576,fe_virial_batch_100k18,-105.35534540463473,-0.5016172805741422,30,-0.1170614948940386
2577,fe_virial_batch_100k18,7.135029478210627,0.0,30,0.007927810531345142
2578,fe_virial_batch_100k18,-97.03292060703028,0.0,30,-0.10781435623003364
2579,fe_virial_batch_100k18,-94.50103051825634,0.0,30,-0.10500114502028482
2580,fe_virial_batch_100k18,115.23995882284132,0.0,32,0.11253902228793097
2581,fe_virial_batch_100k18,-50.26576050239455,0.0,32,-0.04908765674061968
2582,fe_virial_batch_100k18,51.6308289434408,0.0,32,0.0504207313900789
2583,fe_virial_batch_100k18,-137.0162299455056,0.0,32,-0.1338049120561578
2584,fe_virial_batch_100k18,132.10711296341546,0.0,32,0.1290108525033354
2585,fe_virial_batch_100k18,6.358301873734498,0.0,34,0.005500261136448528
2586,fe_virial_batch_100k18,-2.4976334075873665,0.0,34,-0.002160582532515023
2587,fe_virial_batch_100k18,-5.731201462330542,0.0,34,-0.004957786732119846
2588,fe_virial_batch_100k18,84.47031020987767,0.0,34,0.0730712026037004
2589,fe_virial_batch_100k18,-125.72018572971507,0.0,34,-0.10875448592535905
2590,fe_virial_batch_100k18,44.24474194375565,0.0,36,0.034139461376354666
2591,fe_virial_batch_100k18,-29.452584521470417,0.0,36,-0.022725759661628406
2592,fe_virial_batch_100k18,49.140017117078905,0.0,36,0.03791667987428928
2593,fe_virial_batch_100k18,58.641855157383105,0.0,36,0.04524834502884499
2594,fe_virial_batch_100k18,24.701153720164378,0.0,36,0.01905953219148486
2595,fe_virial_batch_100k18,16.175478355196322,0.0,38,0.011201854816617951
2596,fe_virial_batch_100k18,331.3592284258063,0.0,38,0.22947314987936723
2597,fe_virial_batch_100k18,46.220234367681975,0.0,38,0.03200847255379638
2598,fe_virial_batch_100k18,117.20722485656073,0.0,38,0.0811684382663163
2599,fe_virial_batch_100k18,164.12903146994736,0.0,38,0.11366276417586382
2600,fe_virial_batch_100k18,-50.25840179096718,0.0,32,-0.049080470498991384
2601,fe_virial_batch_100k18,-37.56007882516585,0.0,32,-0.03667976447770103
2602,fe_virial_batch_100k18,-26.967010320641172,0.0,32,-0.026334971016251145
2603,fe_virial_batch_100k18,-31.624663088749625,0.0,32,-0.030883460047607055
2604,fe_virial_batch_100k18,-116.27807192000525,0.0,32,-0.11355280460938012
2605,fe_virial_batch_100k18,45.261674044171556,0.0,34,0.0391536972700446
2606,fe_virial_batch_100k18,-83.1299194220618,0.0,34,-0.07191169500178357
2607,fe_virial_batch_100k18,82.89627654148025,0.0,34,0.07170958178328742
2608,fe_virial_batch_100k18,-1.3793317024207636,0.0,34,-0.0011931935142048128
2609,fe_virial_batch_100k18,-137.56079725649548,0.0,34,-0.11899722946063622
2610,fe_virial_batch_100k18,38.33629691086663,0.0,36,0.029580476011471166
2611,fe_virial_batch_100k18,64.73491095262051,0.0,36,0.04994977696961459
2612,fe_virial_batch_100k18,-286.80937893712724,0.0,36,-0.2213035331304994
2613,fe_virial_batch_100k18,55.6948991684439,0.0,36,0.04297445923491042
2614,fe_virial_batch_100k18,-21.10098732586572,0.0,36,-0.016281626023044535
2615,fe_virial_batch_100k18,-85.63209208691259,0.0,38,-0.05930200283027188
2616,fe_virial_batch_100k18,303.61068741389084,0.0,38,0.21025670873538146
2617,fe_virial_batch_100k18,45.559840235872386,0.0,38,0.03155113589741855
2618,fe_virial_batch_100k18,65.37938203840537,0.0,38,0.04527658035900649
2619,fe_virial_batch_100k18,-75.9638202320131,0.0,38,-0.05260652370638027
2620,fe_virial_batch_100k18,215.89196588223336,0.0,40,0.13493247867639585
2621,fe_virial_batch_100k18,52.74639431631417,0.0,40,0.03296649644769636
2622,fe_virial_batch_100k18,71.8847184221525,0.0,40,0.044927949013845316
2623,fe_virial_batch_100k18,106.32226788127731,0.0,40,0.06645141742579833
2624,fe_virial_batch_100k18,-17.689873454379747,0.0,40,-0.01105617090898734
2625,fe_virial_batch_100k18,124.29201012735682,0.0,26,0.18386392030674084
2626,fe_virial_batch_100k18,-14.96014718681104,0.0,26,-0.022130395246761893
2627,fe_virial_batch_100k18,32.14799579651183,0.0,26,0.04755620679957371
2628,fe_virial_batch_100k18,-57.68299797657377,0.0,26,-0.08532987866357067
2629,fe_virial_batch_100k18,-11.593048138517519,0.0,26,-0.0171494794948484
2630,fe_virial_batch_100k18,132.73959315656379,0.0,28,0.16931070555684155
2631,fe_virial_batch_100k18,2.6381971545060834,0.0,28,0.003365047390951637
2632,fe_virial_batch_100k18,92.06562469814193,0.0,28,0.11743064374763001
2633,fe_virial_batch_100k18,-84.9917901821098,0.0,28,-0.10840789564044617
2634,fe_virial_batch_100k18,197.65277567746043,0.0,28,0.25210813224165873
2635,fe_virial_batch_100k18,163.29753783273318,0.0,30,0.18144170870303686
2636,fe_virial_batch_100k18,-135.29864083445045,0.0,30,-0.1503318231493894
2637,fe_virial_batch_100k18,-63.55883208079953,0.0,30,-0.07062092453422171
2638,fe_virial_batch_100k18,148.35265245216925,0.0,30,0.16483628050241028
2639,fe_virial_batch_100k18,-122.55105097492101,0.0,30,-0.1361678344165789
2640,fe_virial_batch_100k18,-258.358212483075,0.0,32,-0.25230294187800295
2641,fe_virial_batch_100k18,-185.95019322525525,0.0,32,-0.18159198557153833
2642,fe_virial_batch_100k18,84.63739669254272,0.0,32,0.08265370770756125
2643,fe_virial_batch_100k18,-92.96582621418354,0.0,32,-0.09078693966228861
2644,fe_virial_batch_100k18,190.71517260121877,0.0,32,0.1862452857433777
2645,fe_virial_batch_100k18,-140.53867529220554,0.0,34,-0.12157324852266915
2646,fe_virial_batch_100k18,-117.00323377424766,0.0,34,-0.10121387004692704
2647,fe_virial_batch_100k18,-34.49563500661545,0.0,34,-0.02984051471160506
2648,fe_virial_batch_100k18,-17.81264962120616,0.0,34,-0.015408866454330587
2649,fe_virial_batch_100k18,116.04861688874489,0.0,34,0.10038807689337793
2650,fe_virial_batch_100k18,-0.011757386612998374,0.0,28,-1.4996666598212211e-05
2651,fe_virial_batch_100k18,73.37211387209724,0.0,28,0.09358687993889955
2652,fe_virial_batch_100k18,77.73397430871853,0.0,28,0.09915047743458996
2653,fe_virial_batch_100k18,-58.1917856178369,0.0,28,-0.07422421634928177
2654,fe_virial_batch_100k18,45.468549555746414,0.0,28,0.05799559892314594
2655,fe_virial_batch_100k18,130.72454168635593,0.0,30,0.1452494907626177
2656,fe_virial_batch_100k18,24.2788945360723,0.0,30,0.026976549484524777
2657,fe_virial_batch_100k18,46.282759685996304,0.0,30,0.051425288539995895
2658,fe_virial_batch_100k18,109.41094437871774,0.0,30,0.12156771597635305
2659,fe_virial_batch_100k18,-286.9666873092175,0.0,30,-0.3188518747880194
2660,fe_virial_batch_100k18,99.31749827871748,0.0,32,0.09698974441281004
2661,fe_virial_batch_100k18,-0.9888132091226284,0.0,32,-0.0009656378995338168
2662,fe_virial_batch_100k18,88.43506131876967,0.0,32,0.086362364569111
2663,fe_virial_batch_100k18,53.557936619103494,0.0,32,0.052302672479593255
2664,fe_virial_batch_100k18,36.94087143150952,0.0,32,0.03607506975733352
2665,fe_virial_batch_100k18,179.39218886894577,0.0,34,0.15518355438490117
2666,fe_virial_batch_100k18,46.79133814054087,0.0,34,0.04047693610773432
