[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
4.0,12.0,4.0,4.0,24,0.0,3.333333333333333,2.0,2.0,4,4,0,3,1,1,0,4,2,2,-11.99825651111112,-0.11116208964868644
6.0,12.0,4.0,4.0,26,0.0,2.6666666666666665,0.0,2.0,4,4,0,3,0,2,0,4,0,2,-12.350098999999998,-0.016370466865899474
6.0,12.0,4.0,4.0,26,0.0,2.25,2.0,2.0,4,3,0,4,1,2,0,3,2,2,-11.910803622222213,0.0361513180218361
6.0,12.0,4.0,4.0,26,0.0,3.5,0.0,2.0,4,4,0,2,0,1,0,4,0,2,-11.435223511111117,0.229543676130784
6.0,12.0,4.0,4.0,26,0.0,2.5,0.0,2.0,4,3,0,4,0,1,0,3,0,2,-11.636718355555557,-0.11954304467233927
6.0,12.0,4.0,4.0,26,2.0,2.6666666666666665,0.0,2.0,4,4,1,3,0,1,2,4,0,2,-11.075478288888887,0.07151007224145929
8.0,12.0,4.0,4.0,28,0.0,2.0,0.0,2.0,4,2,0,2,0,1,0,2,0,2,-9.67547526666666,0.2730454488984998
8.0,12.0,4.0,4.0,28,0.0,2.0,0.0,2.0,4,2,0,4,0,1,0,2,0,2,-10.516514355555557,0.06084549371553887
8.0,12.0,4.0,4.0,28,3.0,3.5,2.0,2.0,4,4,1,2,1,1,3,4,2,2,-11.17671942222223,0.14938195889925465
8.0,12.0,4.0,4.0,28,0.0,2.0,2.0,2.0,4,2,0,4,1,1,0,2,2,2,-10.51595617777778,0.1677634187780639
8.0,12.0,4.0,4.0,28,0.0,3.333333333333333,0.0,3.0,4,4,0,3,0,1,0,4,0,3,-11.000084822222226,0.2704067147935543
10.0,12.0,4.0,4.0,30,2.0,2.25,2.0,2.0,4,3,1,4,1,2,2,3,2,2,-10.612373222222212,0.1737288374421789
10.0,12.0,4.0,4.0,30,2.0,4.0,2.0,3.0,4,4,2,1,1,2,2,4,2,4,-10.489316511111113,0.2966833596083637
10.0,12.0,4.0,4.0,30,2.0,3.0,2.0,2.5,4,4,1,2,1,2,2,4,2,3,-10.155248466666668,-0.02153837123857676
10.0,12.0,4.0,4.0,30,0.0,2.25,0.0,2.5,4,3,0,4,0,2,0,3,0,3,-10.864322400000002,0.3160138089059016
10.0,12.0,4.0,4.0,30,0.0,2.333333333333333,0.0,2.5,4,3,0,3,0,2,0,3,0,3,-10.212378711111118,0.14612183367360299
12.0,12.0,4.0,4.0,32,0.0,2.0,2.0,2.0,4,2,0,2,1,3,0,2,2,2,-9.600944244444443,-0.12058341021236114
12.0,12.0,4.0,4.0,32,0.0,2.0,2.0,2.5,4,3,0,3,1,2,0,2,2,3,-8.490523311111113,0.19845310179767545
12.0,12.0,4.0,4.0,32,0.0,2.333333333333333,0.0,2.333333333333333,4,3,0,3,0,3,0,3,0,3,-9.154814377777775,0.05425360482783425
12.0,12.0,4.0,4.0,32,2.0,3.0,2.0,2.0,4,3,1,1,1,2,2,3,2,2,-8.833795511111108,0.11629308349097635
12.0,12.0,4.0,4.0,32,2.0,2.0,0.0,2.25,4,3,1,3,0,4,2,2,0,3,-8.386736977777772,-0.14671405824441966
4.0,4.0,6.0,4.0,18,0.0,0.0,2.0,0.0,4,2,0,0,1,0,0,0,2,0,-6.767481711111103,0.13733574008852142
4.0,4.0,6.0,4.0,18,0.0,0.0,2.0,0.0,4,2,0,0,1,0,0,0,2,0,-6.672555222222218,0.16927298382597836
4.0,4.0,6.0,4.0,18,2.0,2.0,4.0,0.0,4,4,1,1,1,0,2,2,4,0,-6.939872577777778,0.06814856271739822
4.0,4.0,6.0,4.0,18,3.0,2.0,2.0,0.0,4,3,1,1,2,0,3,2,2,0,-7.3112187777777775,0.4455347848886762
4.0,4.0,6.0,4.0,18,2.0,0.0,2.0,0.0,4,2,1,0,2,0,2,0,2,0,-6.625196866666667,0.4315194448285615
6.0,4.0,6.0,4.0,20,2.0,2.0,0.0,2.0,4,2,2,1,0,1,2,2,0,2,-6.305496333333334,0.25079208180420204
6.0,4.0,6.0,4.0,20,2.0,2.0,2.0,2.0,4,2,1,1,3,2,2,2,2,2,-6.732713511111107,0.019147008364580654
6.0,4.0,6.0,4.0,20,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,-6.08011328888889,0.1544241093626962
6.0,4.0,6.0,4.0,20,4.0,0.0,2.0,3.0,4,4,1,0,1,1,4,0,2,3,-6.796234088888896,0.0024347456616179
6.0,4.0,6.0,4.0,20,2.0,0.0,2.0,2.0,4,2,1,0,1,1,2,0,2,2,-6.793784977777778,0.07880103659792423
8.0,4.0,6.0,4.0,22,0.0,0.0,0.0,2.0,4,2,0,0,0,1,0,0,0,2,-5.360278177777785,0.07466933263882737
8.0,4.0,6.0,4.0,22,0.0,2.0,2.5,2.0,4,3,0,1,2,2,0,2,3,2,-5.408144822222224,-0.05064258029097163
8.0,4.0,6.0,4.0,22,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,-4.818550577777778,-0.3624546377938815
8.0,4.0,6.0,4.0,22,0.0,3.0,2.0,2.0,4,3,0,1,2,1,0,3,2,2,-5.370624688888892,0.000368928051713716
8.0,4.0,6.0,4.0,22,0.0,0.0,0.0,3.0,4,3,0,0,0,1,0,0,0,3,-5.472623666666665,-0.02475691233277989
10.0,4.0,6.0,4.0,24,2.0,0.0,2.0,3.0,4,3,1,0,2,2,2,0,2,3,-4.5806568,0.15431685378846602
10.0,4.0,6.0,4.0,24,2.0,2.0,2.0,3.0,4,4,1,1,1,2,2,2,2,4,-5.203541288888889,0.4584942642576567
10.0,4.0,6.0,4.0,24,2.0,0.0,3.0,6.0,4,6,1,0,1,1,2,0,3,6,-5.670519133333337,0.12825592863891033
10.0,4.0,6.0,4.0,24,0.0,2.0,2.0,2.6666666666666665,4,4,0,1,2,3,0,2,2,4,-5.323666955555555,0.1822432787483455
10.0,4.0,6.0,4.0,24,2.0,2.0,3.0,4.0,4,4,1,1,1,1,2,2,3,4,-5.457499955555555,0.3762253226582514
12.0,4.0,6.0,4.0,26,2.0,0.0,3.0,2.5,4,3,1,0,1,4,2,0,3,3,-4.542293444444447,0.04897635790954807
12.0,4.0,6.0,4.0,26,2.0,2.0,2.0,2.5,4,3,1,1,1,2,2,2,2,3,-4.91648497777778,0.0569920246580722
12.0,4.0,6.0,4.0,26,3.0,0.0,0.0,2.25,4,3,1,0,0,4,3,0,0,3,-4.141439488888889,0.07736756476631383
12.0,4.0,6.0,4.0,26,2.0,0.0,2.0,2.25,4,3,1,0,2,4,2,0,2,3,-4.943220777777778,0.2705883646091338
12.0,4.0,6.0,4.0,26,0.0,0.0,2.0,2.25,4,3,0,0,1,4,0,0,2,3,-4.037597244444445,0.006146672500477216
4.0,6.0,6.0,4.0,20,2.0,3.0,3.0,2.0,4,3,1,1,1,1,2,3,3,2,-8.086108222222213,0.4629327390130957
4.0,6.0,6.0,4.0,20,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,-7.728217066666662,-0.09292646546922516
4.0,6.0,6.0,4.0,20,2.0,2.0,2.0,3.0,4,3,1,1,2,1,2,2,2,3,-8.437318266666665,-0.35979441735003703
4.0,6.0,6.0,4.0,20,2.0,2.0,2.0,2.0,4,2,1,2,1,1,2,2,2,2,-7.372492888888892,0.003627450944341297
4.0,6.0,6.0,4.0,20,0.0,2.0,4.0,0.0,4,4,0,1,1,0,0,2,4,0,-7.6266095333333315,0.019650625493588317
6.0,6.0,6.0,4.0,22,2.0,2.0,2.0,2.0,4,2,1,1,1,1,2,2,2,2,-8.144982133333338,-0.2808099990256881
